codmunicipio,valor,beneficiarios,ano,mes
1101302,1755237,3857,2020,11
1101302,1662055,3804,2020,12
1101302,8700,10,2021,1
1101401,2349000,3562,2020,4
1101401,2880000,4238,2020,5
1101401,1743600,2621,2020,6
1101401,2988600,4513,2020,7
1101401,2620800,3959,2020,8
1101401,2618047,4677,2020,9
1101401,1676477,4250,2020,10
1101401,2215626,4493,2020,11
1101401,2020824,4432,2020,12
1101401,23400,23,2021,1
1100148,3397800,5078,2020,4
1100148,3894600,5707,2020,5
1100148,2610600,3844,2020,6
1100148,3969000,5953,2020,7
1100148,3532200,5286,2020,8
1100148,2986496,5992,2020,9
1100148,1984648,5551,2020,10
1100148,2485216,5693,2020,11
1100148,2344454,5612,2020,12
1100148,14700,13,2021,1
1100338,5101800,7403,2020,4
1100338,6108000,8643,2020,5
1100338,3768000,5453,2020,6
1100338,6397800,9326,2020,7
1100338,5713200,8271,2020,8
1100338,5595542,9769,2020,9
1100338,3637851,9016,2020,10
1100338,4795640,9474,2020,11
1100338,4351016,9363,2020,12
1100338,24300,25,2021,1
1101435,1333200,2052,2020,4
1101435,1607400,2393,2020,5
1101435,908400,1380,2020,6
1101435,1652400,2530,2020,7
1101435,1421400,2198,2020,8
1101435,1439713,2632,2020,9
1101435,918298,2441,2020,10
1101435,1197898,2549,2020,11
1101435,1117803,2527,2020,12
1101435,3000,3,2021,1
1100502,1581000,2391,2020,4
1100502,1803600,2687,2020,5
1100502,1200600,1792,2020,6
1100502,1846800,2800,2020,7
1100502,1658400,2511,2020,8
1100502,1437699,2838,2020,9
1100502,940658,2586,2020,10
1100502,1177022,2670,2020,11
1100502,1117636,2640,2020,12
1100502,14700,15,2021,1
1100155,6083400,8845,2020,4
1100155,7632600,10875,2020,5
1100155,4170000,6004,2020,6
1100155,7938600,11653,2020,7
1100155,6863400,10076,2020,8
1100155,7439963,12273,2020,9
1100155,4659857,10989,2020,10
1100155,6241638,11633,2020,11
1100155,5687344,11403,2020,12
1100155,71700,52,2021,1
1101450,751800,1115,2020,4
1101450,873000,1266,2020,5
1101450,529200,776,2020,6
1101450,892200,1327,2020,7
1101450,787200,1166,2020,8
1101450,705044,1318,2020,9
1101450,450993,1210,2020,10
1101450,599656,1254,2020,11
1101450,560183,1245,2020,12
1101450,1200,1,2021,1
1100189,4902600,6904,2020,4
1100189,6395400,8863,2020,5
1100189,3448200,4856,2020,6
1100189,6679800,9510,2020,7
1100189,5841600,8302,2020,8
1100189,6373611,10011,2020,9
1100189,3909839,8581,2020,10
1100189,5069074,9001,2020,11
1100189,4602590,8665,2020,12
1100189,68100,52,2021,1
1101468,415200,570,2020,4
1101468,462600,622,2020,5
1101468,307200,408,2020,6
1101468,476400,657,2020,7
1101468,417000,572,2020,8
1101468,350104,629,2020,9
1101468,224916,588,2020,10
1101468,295850,606,2020,11
1101468,275402,600,2020,12
1101468,1500,2,2021,1
1100205,95980200,131438,2020,4
1100205,115082400,156751,2020,5
1100205,68011800,90815,2020,6
1100205,119735400,166618,2020,7
1100205,107003400,146526,2020,8
1100205,103037618,170563,2020,9
1100205,65627867,153316,2020,10
1100205,86263544,161834,2020,11
1100205,79309122,157593,2020,12
1100205,1346700,1092,2021,1
1100254,4225800,6117,2020,4
1100254,4777800,6822,2020,5
1100254,3026400,4234,2020,6
1100254,4870800,7088,2020,7
1100254,4328400,6267,2020,8
1100254,3682036,7010,2020,9
1100254,2351088,6392,2020,10
1100254,3018839,6639,2020,11
1100254,2905272,6511,2020,12
1100254,31200,24,2021,1
1101476,609600,930,2020,4
1101476,700800,1032,2020,5
1101476,415800,626,2020,6
1101476,697200,1061,2020,7
1101476,621000,933,2020,8
1101476,560911,1049,2020,9
1101476,337112,928,2020,10
1101476,458180,983,2020,11
1101476,434953,961,2020,12
1101476,1800,2,2021,1
1100262,613200,870,2020,4
1100262,760800,1052,2020,5
1100262,458400,640,2020,6
1100262,789000,1126,2020,7
1100262,701400,1002,2020,8
1100262,671932,1152,2020,9
